127.0.0.1 - - [11/Jun/2021:09:23:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:23:06 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:23:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:23:44 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:24:26 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:24:30 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:24:32 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:24:32 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:24:32 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:34 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:35 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:36 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:36 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:36 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:36 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:37 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:37 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:37 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:37 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:37 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:37 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:37 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:38 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:38 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:38 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:38 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:38 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:38 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:39 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:25:39 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:02 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:02 +0900] "GET /Lecture-Web/css/images/cat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:02 +0900] "GET /Lecture-Web/css/images/cat2.jpg HTTP/1.1" 200 2792103
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:02 +0900] "GET /Lecture-Web/css/images/nyan-cat.gif HTTP/1.1" 200 36985
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:26:02 +0900] "GET /Lecture-Web/css/images/cat3.jpg HTTP/1.1" 200 103152
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:06 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:06 +0900] "GET /Lecture-Web/css/images/cat2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:06 +0900] "GET /Lecture-Web/css/images/cat3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:27:06 +0900] "GET /Lecture-Web/css/images/nyan-cat.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:29:57 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:29:58 +0900] "GET /Lecture-Web/css/images/cat2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:29:58 +0900] "GET /Lecture-Web/css/images/nyan-cat.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:29:58 +0900] "GET /Lecture-Web/css/images/cat3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:29:59 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:29:59 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:29:59 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:30:01 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:30:02 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:30:02 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:30:02 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:30:02 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:30:03 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:30:15 +0900] "GET /Lecture-Web/css/exam11.html HTTP/1.1" 200 611
