127.0.0.1 - - [18/Jun/2021:09:33:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:33:08 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:33:08 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:33:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:35:17 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:37:14 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:39:14 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:41:00 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:42:32 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:42:56 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:43:12 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:49:29 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:49:37 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:49:45 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:49:48 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:49:48 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:49:48 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:49:59 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:50:37 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:51:08 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:51:20 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [18/Jun/2021:09:51:24 +0900] "GET /Lecture-Web/jquery/exam17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:06:33 +0900] "GET /Lecture-Web/jquery/exam18.html HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:06:41 +0900] "GET /Lecture-Web/jquery/exam18.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:15:03 +0900] "GET /Lecture-Web/jquery/exam18.html HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:15:19 +0900] "GET /Lecture-Web/jquery/exam18.html HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:15:22 +0900] "GET /Lecture-Web/jquery/exam18.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:15:28 +0900] "GET /Lecture-Web/jquery/exam18.html HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:15:28 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:15:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
